	C_S27	C_S28	C_S31	C_S43	C_S48	E_S36	E_S41	E_S42	E_S49	E_S50	N_S29	N_S30	N_S37	N_S38	N_S46
ENSG00000171612	604	1206	1087	287	312	65	713	266	259	253	234	323	668	450	110
ENSG00000270927	0	0	0	0	0	0	2	5	4	0	0	0	0	0	0
ENSG00000188910	22	76	5	9	4	3	31	4	45	10	14	32	0	20	14
ENSG00000230523	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000158161	163	233	163	134	106	81	149	121	145	147	83	220	60	146	71
ENSG00000142627	88	725	427	60	189	191	546	356	590	619	463	639	101	708	319
ENSG00000284668	0	0	0	0	0	0	5	1	1	0	0	0	0	0	2
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142632	31	101	40	3	54	12	33	33	76	19	47	66	39	17	17
ENSG00000234593	1	0	4	0	0	0	2	6	1	1	0	0	0	1	0
ENSG00000189337	68	76	44	56	44	75	43	54	60	53	36	115	17	77	49
ENSG00000028137	573	613	525	639	679	229	557	231	1020	667	531	546	236	563	335
ENSG00000204464	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1
ENSG00000130939	415	680	367	216	229	220	399	255	342	303	262	568	265	289	207
ENSG00000175147	1	30	5	0	2	10	12	33	16	17	5	3	1	8	1
ENSG00000127472	79	8	41	24	33	29	66	63	168	95	46	38	46	61	39
ENSG00000060656	162	266	148	59	168	178	457	149	250	284	188	316	90	126	85
ENSG00000163867	86	113	142	21	65	49	111	60	120	85	42	93	53	79	29
ENSG00000230214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189280	8	3	0	2	1	0	1	0	1	0	2	3	0	2	1
ENSG00000134698	226	328	253	156	190	168	336	241	217	218	157	412	101	210	114
ENSG00000272420	1	2	0	0	3	2	3	5	5	4	1	0	0	5	3
ENSG00000132881	26	29	29	28	20	18	23	13	37	41	42	36	23	8	20
ENSG00000273274	2	1	3	0	1	0	7	22	2	2	0	0	14	1	1
ENSG00000236648	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0
ENSG00000232273	3	10	8	1	6	2	7	7	11	11	6	19	4	2	5
ENSG00000287396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130940	26	130	21	12	47	27	63	60	43	45	41	47	29	24	3
ENSG00000163879	152	240	255	94	142	152	201	190	470	495	247	272	33	266	175
ENSG00000227527	6	3	1	0	0	0	13	4	4	4	4	9	1	0	2
ENSG00000116954	94	157	211	90	120	43	184	125	150	123	68	104	74	140	49
ENSG00000228589	81	73	109	39	63	27	73	68	60	35	63	61	95	23	47
ENSG00000163873	3	15	0	0	4	0	13	7	0	1	0	2	2	2	0
ENSG00000117215	6	0	1	2	3	5	2	4	24	9	3	8	0	0	6
ENSG00000230163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227538	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000044012	20	2	3	12	0	4	46	11	29	11	18	24	4	17	37
ENSG00000179051	124	384	193	94	175	123	330	161	368	243	182	240	109	214	119
ENSG00000215895	141	50	115	43	62	24	167	49	85	35	43	27	71	26	28
ENSG00000284650	1	0	4	0	1	0	0	0	2	1	1	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
ENSG00000126067	2422	2127	1660	902	781	552	1194	630	1308	980	833	1325	662	968	762
ENSG00000274944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272078	0	1	7	5	4	0	5	18	10	6	5	5	0	2	0
ENSG00000230451	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000284632	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000054118	1253	1563	908	868	538	528	1169	596	1016	817	759	1424	602	1151	632
ENSG00000254553	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0
ENSG00000284653	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
ENSG00000237749	16	7	22	4	13	8	17	23	33	13	28	12	1	14	13
ENSG00000276747	0	0	1	0	0	0	4	10	2	0	0	2	2	0	0
ENSG00000284705	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
ENSG00000228776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159339	20	10	43	158	0	1	7	5	31	9	0	10	2	1	11
ENSG00000261781	0	0	2	0	1	0	1	2	0	0	0	0	1	0	0
ENSG00000284743	7	1	2	7	1	2	0	7	0	0	0	8	3	0	0
ENSG00000158315	2	12	5	4	2	2	18	1	20	7	1	1	0	4	2
ENSG00000186973	1	1	2	0	0	0	0	0	16	0	2	0	0	0	0
ENSG00000146463	276	426	301	210	197	187	300	284	292	288	196	461	144	276	141
ENSG00000271741	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000142686	88	193	92	43	102	60	117	87	194	142	67	156	72	64	29
ENSG00000224751	8	5	6	11	4	3	5	4	4	0	2	10	7	3	9
ENSG00000117148	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000230585	0	0	3	3	0	0	0	4	0	2	0	0	0	1	1
ENSG00000117000	188	203	176	95	106	72	185	98	107	143	118	298	56	155	75
ENSG00000284989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000092853	2	56	10	0	13	4	24	65	23	18	3	6	0	1	6
ENSG00000255811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000134697	675	977	615	254	248	236	600	256	706	541	304	476	247	412	225
ENSG00000187513	154	393	196	80	129	105	135	136	296	210	111	79	106	88	73
ENSG00000284720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225671	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0
ENSG00000116151	29	48	27	11	16	22	41	32	61	42	32	118	14	47	50
ENSG00000006555	40	214	32	34	40	52	135	37	100	64	63	146	39	23	33
ENSG00000236111	1	3	1	1	0	1	1	0	1	3	2	0	1	0	0
ENSG00000214114	122	207	231	82	92	48	88	94	120	67	68	84	78	63	49
ENSG00000116544	10	16	4	0	4	2	3	12	17	17	6	13	3	4	5
ENSG00000236723	2	2	0	1	0	0	2	0	1	0	0	3	0	1	0
ENSG00000232467	0	7	1	1	0	0	5	2	1	1	1	0	0	0	0
ENSG00000117016	13	22	13	4	4	14	44	22	41	58	25	21	15	18	13
ENSG00000163866	695	947	1161	324	440	224	717	311	910	474	524	600	633	323	381
ENSG00000237130	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000232335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260971	3	6	9	3	7	1	24	57	17	5	3	14	1	9	3
ENSG00000284696	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000238242	0	0	2	0	0	0	1	5	0	1	0	0	4	0	0
ENSG00000232762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162384	371	452	570	210	295	162	454	272	686	403	304	445	151	207	264
ENSG00000162391	32	18	0	57	9	33	2	3	3	80	11	18	0	13	22
ENSG00000117859	1949	1794	2127	1082	901	653	1335	658	1004	1317	993	2789	575	1719	717
ENSG00000162396	79	51	47	42	35	29	29	21	35	47	41	89	15	23	24
ENSG00000284686	3	2	3	0	2	0	2	0	9	0	0	1	7	8	0
ENSG00000162378	992	580	968	526	316	171	429	264	230	261	252	715	406	517	214
ENSG00000233079	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0
ENSG00000259818	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0
ENSG00000229444	0	0	0	0	0	0	0	13	0	2	0	0	0	0	2
ENSG00000240563	0	1	0	0	0	0	3	5	10	4	0	4	0	3	1
ENSG00000234318	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0
ENSG00000284773	2	10	6	0	1	3	1	2	13	4	1	4	0	7	1
ENSG00000234481	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000235612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227485	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000224609	2	2	2	1	2	2	4	0	10	9	1	8	3	1	4
ENSG00000235545	0	1	0	1	0	0	7	6	1	0	6	3	2	4	0
ENSG00000236646	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000238063	0	0	3	0	0	0	4	3	0	0	0	0	0	0	1
ENSG00000227104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243725	5	15	17	3	0	1	6	0	2	1	7	8	9	6	3
ENSG00000171872	0	0	2	0	2	0	4	20	1	3	0	0	0	0	0
ENSG00000162407	2025	1305	1865	696	1247	798	925	1331	797	816	1432	3297	498	1731	1111
ENSG00000285079	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSG00000163877	171	215	309	66	107	56	167	150	146	129	91	199	93	191	69
ENSG00000228929	77	155	191	41	74	46	118	142	172	114	134	91	85	56	74
ENSG00000224570	5	1	3	0	5	2	2	1	4	6	22	2	0	9	3
ENSG00000224980	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000278967	160	36	178	132	86	114	80	46	53	124	42	292	17	224	50
ENSG00000157184	1265	836	1116	799	455	367	763	319	796	780	780	1304	302	526	541
ENSG00000198815	264	379	336	116	247	171	269	201	500	360	233	409	177	393	158
ENSG00000134744	259	331	175	124	166	153	316	213	187	249	209	559	147	367	194
ENSG00000233910	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287703	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000283039	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
ENSG00000229294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234088	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000236973	0	0	0	0	0	0	2	2	1	0	0	0	0	1	0
ENSG00000277397	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
ENSG00000235446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162385	290	384	472	150	147	132	351	162	320	230	174	272	162	146	175
ENSG00000223883	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
ENSG00000237227	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000275350	0	0	5	0	2	0	2	11	2	0	3	0	0	0	0
ENSG00000116652	1	2	1	0	3	1	2	28	3	0	2	5	0	3	1
ENSG00000123080	75	550	84	50	41	56	53	80	80	86	63	126	40	23	42
ENSG00000285778	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3
ENSG00000233407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162598	0	0	1	2	0	1	4	13	1	2	2	0	0	0	0
ENSG00000280317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162415	7	25	4	5	12	14	18	21	20	17	35	66	0	4	13
ENSG00000162600	357	147	306	135	136	110	188	142	100	131	98	263	33	139	134
ENSG00000116704	1744	1771	1190	1091	1070	680	787	705	679	756	908	1902	760	833	756
ENSG00000157193	8	13	8	0	6	4	29	59	10	9	5	15	0	5	3
ENSG00000116205	72	121	67	50	66	24	93	53	70	71	48	132	26	50	37
ENSG00000234204	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSG00000233099	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233994	22	19	13	6	10	9	17	4	4	5	9	11	2	7	6
ENSG00000233973	0	0	0	0	0	0	1	2	2	0	0	0	8	0	0
ENSG00000132854	45	7	27	56	32	5	8	25	11	15	9	37	10	18	14
ENSG00000227556	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0
ENSG00000162607	348	530	327	146	197	143	197	205	179	181	151	259	197	222	103
ENSG00000285954	0	0	0	0	1	0	0	4	0	1	0	0	7	0	1
ENSG00000233333	0	1	0	0	0	1	2	0	1	1	0	3	0	1	0
ENSG00000154027	0	5	0	1	7	3	9	26	6	12	5	12	5	4	7
ENSG00000234108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232676	1	0	5	0	2	3	0	6	2	2	8	2	3	0	1
ENSG00000213579	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000137960	292	264	403	208	253	130	179	284	206	240	163	471	277	222	199
ENSG00000237852	0	2	0	0	0	0	1	1	4	0	1	0	0	0	1
ENSG00000132855	11300	1788	12371	7883	6373	5396	4474	3473	2908	7848	4173	19710	1923	5882	5207
ENSG00000285407	1	0	0	0	0	0	0	6	0	0	1	0	0	0	0
ENSG00000270549	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000237163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229636	0	0	0	0	1	0	6	8	0	0	0	0	0	0	0
ENSG00000116675	4	17	8	2	13	10	100	56	9	21	7	9	1	11	6
ENSG00000162433	2547	1979	2025	1719	1149	872	971	1167	823	915	912	2607	1274	1077	1052
ENSG00000213625	1419	1292	1189	793	711	598	1444	927	780	804	618	1313	464	744	483
ENSG00000233664	0	0	2	0	0	0	4	0	2	2	0	1	2	0	0
ENSG00000158966	50	39	23	30	36	38	87	113	69	71	56	117	15	47	28
ENSG00000213703	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
ENSG00000203965	28	45	49	22	35	37	65	44	29	31	29	55	6	18	22
ENSG00000223479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233674	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1
ENSG00000153898	3	12	3	0	10	4	13	21	36	8	15	6	3	3	10
ENSG00000117069	0	1	2	0	0	1	7	1	2	4	0	1	1	1	1
ENSG00000125703	231	161	275	103	107	56	174	117	92	110	77	198	95	54	63
ENSG00000285041	0	0	0	0	0	0	2	19	0	2	0	0	0	0	0
ENSG00000234144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230498	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
ENSG00000285782	0	0	0	0	1	0	0	0	0	1	0	2	2	0	1
ENSG00000162618	732	137	355	354	160	162	245	303	215	233	126	330	65	59	113
ENSG00000224493	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000131233	0	0	0	0	0	1	1	1	0	0	3	1	0	0	1
ENSG00000272371	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000287647	0	0	0	1	0	0	0	3	0	0	0	6	0	3	0
ENSG00000229225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225598	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSG00000286455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230053	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
ENSG00000137941	53	130	28	30	31	34	75	89	33	26	16	94	35	45	25
ENSG00000224326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286548	0	2	9	0	9	1	13	34	10	3	4	1	0	11	0
ENSG00000066135	113	220	134	88	121	85	182	99	187	143	139	237	96	55	98
ENSG00000272094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228853	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000284895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117174	145	156	123	57	86	66	124	115	121	88	59	163	64	131	59
ENSG00000237413	62	28	58	13	12	9	6	17	1	8	9	30	14	6	9
ENSG00000184313	0	4	4	1	7	1	17	32	11	8	6	7	1	3	11
ENSG00000284645	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0
ENSG00000225446	0	0	0	0	3	3	0	0	0	3	1	2	0	2	0
ENSG00000288543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122420	18	58	49	37	23	22	69	45	50	25	18	72	9	10	18
ENSG00000284240	1	0	0	0	0	2	1	4	3	1	0	0	0	0	0
ENSG00000236290	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000143013	270	538	344	198	341	204	363	294	452	399	189	506	158	221	162
ENSG00000226084	89	87	185	35	82	42	159	109	299	133	124	67	97	87	39
ENSG00000134748	341	418	423	171	264	165	321	298	339	394	205	342	169	293	174
ENSG00000142892	605	416	424	379	303	162	362	285	209	250	197	418	292	192	131
ENSG00000287743	0	2	0	0	0	0	1	6	2	1	0	0	0	0	0
ENSG00000229332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229752	3	0	1	3	1	1	1	3	5	1	0	2	0	3	2
ENSG00000237505	0	6	3	2	3	4	13	17	9	5	1	9	0	10	5
ENSG00000285462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233216	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197273	0	0	1	0	1	0	20	4	7	8	2	0	0	0	2
ENSG00000226804	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0
ENSG00000230728	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0
ENSG00000232846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230787	8	8	2	7	16	2	5	6	2	3	8	24	2	0	7
ENSG00000116641	331	361	245	190	160	147	404	224	201	175	190	381	86	167	99
ENSG00000172260	6	83	3	2	8	6	28	43	35	47	11	17	13	14	0
ENSG00000285473	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237959	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000231364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000234578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137944	258	426	708	270	288	153	441	234	327	375	182	491	318	238	191
ENSG00000229505	0	0	0	0	1	0	3	9	0	0	0	0	0	0	0
ENSG00000228187	0	1	1	0	0	1	0	2	0	0	0	0	0	0	1
ENSG00000182183	3	13	1	0	8	1	4	14	15	9	5	3	2	7	0
ENSG00000236407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067334	721	686	675	389	241	216	555	219	538	504	261	443	145	438	232
ENSG00000235011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213559	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0
ENSG00000287587	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000142949	4472	2742	2347	1944	2267	1890	2329	955	2501	2139	2630	5887	1281	1853	2014
ENSG00000232882	0	3	0	1	0	0	0	0	0	0	0	0	0	3	0
ENSG00000171502	1	16	7	0	2	3	17	28	6	2	3	9	0	2	7
ENSG00000116157	28	110	23	14	16	56	34	29	87	86	44	46	9	32	30
ENSG00000143036	93	255	112	68	55	140	376	93	325	379	226	133	49	56	91
ENSG00000230817	4	0	0	0	0	1	2	0	0	2	0	0	3	2	0
ENSG00000065243	447	517	389	301	291	229	474	417	162	242	190	617	219	301	192
ENSG00000226759	3	0	0	1	0	0	0	3	0	0	0	0	0	0	0
ENSG00000226960	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
ENSG00000234080	0	0	0	0	0	0	3	0	0	5	0	0	0	0	1
ENSG00000237899	0	3	5	2	3	0	9	17	0	4	0	1	0	1	1
ENSG00000227290	0	0	0	1	0	0	0	5	0	1	0	0	0	0	0
ENSG00000282898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117528	2514	4175	2460	1553	1356	1100	1607	1413	781	1203	1734	2944	1428	1260	830
ENSG00000271723	0	0	3	0	1	0	5	7	0	0	0	0	0	1	1
ENSG00000036549	369	442	417	178	210	187	312	204	177	236	166	584	166	206	156
ENSG00000225191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287870	0	0	0	0	0	0	2	15	1	2	0	0	0	0	0
ENSG00000232048	0	0	0	0	2	0	5	24	1	0	0	0	0	0	0
ENSG00000232857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283761	1	0	0	0	0	0	3	6	1	2	0	1	0	4	1
ENSG00000189433	1	3	0	0	0	0	3	6	4	0	0	1	0	0	0
ENSG00000230759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142700	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000285525	1	0	0	2	0	0	0	0	0	0	0	0	0	0	5
ENSG00000236098	0	0	1	0	0	0	2	0	3	0	1	0	2	1	0
ENSG00000233514	3	17	13	4	7	5	18	9	9	5	8	9	12	9	4
